"year","year_type","grid","squirrel_id","sex","cache_size_new","total_cones","log_cache_size_new","log_total_cones"
2018,"non-mast","KL",22865,"F",348.435350206583,4.477,5.85631856661364,1.70055750580158
2019,"mast","KL",22865,"F",11728.6125734019,3648.279,9.36987191240657,8.2022848928175
2018,"non-mast","KL",22890,"F",1840.6569540767,4.477,7.51842096389943,1.70055750580158
2017,"non-mast","KL",22891,"M",681.551072903786,60.19,6.52583735635279,4.11398377747445
2018,"non-mast","KL",22891,"M",0,4.477,0,1.70055750580158
2019,"mast","KL",22891,"M",75712.382951514,3648.279,11.23471021312,8.2022848928175
2020,"post-mast","KL",22891,"M",1763.32795990552,44.317,7.47552513759986,3.81368223802878
2017,"non-mast","SU",22921,"F",1742.40582549724,44.479,7.46359585002953,3.81725068095371
2017,"non-mast","KL",22953,"F",0,60.19,0,4.11398377747445
2018,"non-mast","SU",22978,"F",0,1.639,0,0.970400057521187
2019,"mast","SU",22978,"F",2382.37442897226,2333.26,7.77627258979671,7.75545020338613
2020,"post-mast","SU",22978,"F",1255.6225888082,18.315,7.13618291593985,2.96088199611824
2017,"non-mast","SU",22982,"F",73.3038285837618,44.479,4.30816247911435,3.81725068095371
2018,"non-mast","SU",22982,"F",0,1.639,0,0.970400057521187
2019,"mast","SU",22982,"F",6523.16807932881,2333.26,8.78326872664153,7.75545020338613
2017,"non-mast","SU",22989,"F",0,44.479,0,3.81725068095371
2017,"non-mast","KL",22994,"F",0,60.19,0,4.11398377747445
2018,"non-mast","KL",22994,"F",0,4.477,0,1.70055750580158
2017,"non-mast","KL",22996,"F",0,60.19,0,4.11398377747445
2017,"non-mast","KL",23023,"F",11.7918807587867,60.19,2.54881065394245,4.11398377747445
2018,"non-mast","KL",23023,"F",744.262934589507,4.477,6.6137370884485,1.70055750580158
2019,"mast","KL",23023,"F",35945.0559448232,3648.279,10.4897746476682,8.2022848928175
2017,"non-mast","KL",23026,"F",519.235452468313,60.19,6.25428150230386,4.11398377747445
2017,"non-mast","KL",23027,"F",61.9155552144988,60.19,4.14179343384007,4.11398377747445
2018,"non-mast","KL",23027,"F",0,4.477,0,1.70055750580158
2019,"mast","KL",23027,"F",3403.39204138894,3648.279,8.13282165385743,8.2022848928175
2020,"post-mast","KL",23027,"F",36.4228398275567,44.317,3.62228120860126,3.81368223802878
2017,"non-mast","KL",23031,"F",3396.06165853057,60.19,8.13066611887327,4.11398377747445
2017,"non-mast","KL",23041,"M",0,60.19,0,4.11398377747445
2017,"non-mast","KL",23054,"F",0,60.19,0,4.11398377747445
2018,"non-mast","KL",23054,"F",0,4.477,0,1.70055750580158
2019,"mast","KL",23054,"F",5351.61581892761,3648.279,8.58534065851607,8.2022848928175
2020,"post-mast","KL",23054,"F",172.787595947439,44.317,5.15783384059183,3.81368223802878
2017,"non-mast","KL",23076,"F",0,60.19,0,4.11398377747445
2017,"non-mast","KL",23086,"M",0,60.19,0,4.11398377747445
2018,"non-mast","SU",23128,"F",513.91219824973,1.639,6.24399639729339,0.970400057521187
2019,"mast","SU",23128,"F",6039.93004268288,2333.26,8.7063132596517,7.75545020338613
2017,"non-mast","SU",23175,"M",3196.35235887112,44.479,8.07007835846079,3.81725068095371
2018,"non-mast","SU",23189,"M",2664.9148732698,1.639,7.88830256972241,0.970400057521187
2018,"non-mast","SU",23193,"M",1531.94093432237,1.639,7.33494334865946,0.970400057521187
2019,"mast","SU",23193,"M",65254.3155320249,2333.26,11.0860627859593,7.75545020338613
2021,"non-mast","SU",23193,"M",0,0.329,0,0.284426779731108
2017,"non-mast","SU",23194,"F",0,44.479,0,3.81725068095371
2018,"non-mast","SU",23194,"F",0,1.639,0,0.970400057521187
2017,"non-mast","KL",23221,"M",0,60.19,0,4.11398377747445
2017,"non-mast","KL",23293,"M",0,60.19,0,4.11398377747445
2017,"non-mast","KL",23294,"F",0,60.19,0,4.11398377747445
2018,"non-mast","KL",23294,"F",0,4.477,0,1.70055750580158
2019,"mast","KL",23294,"F",9407.32466824944,3648.279,9.14935017934838,8.2022848928175
2020,"post-mast","KL",23294,"F",3034.77850336774,44.317,8.01822317912406,3.81368223802878
2021,"non-mast","KL",23294,"F",0,0.236,0,0.211880359035499
2022,"mast","KL",23294,"F",2450.44226980004,2848.786,7.8044318118848,7.95499918272417
2017,"non-mast","KL",23295,"M",0,60.19,0,4.11398377747445
2019,"mast","KL",23295,"M",49012.1178883483,3648.279,10.7998432532714,8.2022848928175
2020,"post-mast","KL",23295,"M",1706.76838383308,44.317,7.442942758498,3.81368223802878
2017,"non-mast","SU",23300,"F",145.353201767653,44.479,4.98602289036803,3.81725068095371
2018,"non-mast","SU",23300,"F",0,1.639,0,0.970400057521187
2017,"non-mast","SU",23301,"M",1272.77044870904,44.479,7.1497366383504,3.81725068095371
2019,"mast","KL",23319,"F",719.948316447661,3648.279,6.58056745156394,8.2022848928175
2018,"non-mast","KL",23320,"F",41.0196007449967,4.477,3.73813619382475,1.70055750580158
2020,"post-mast","KL",23320,"F",58.9048622548086,44.317,4.09275767469532,3.81368223802878
2018,"non-mast","KL",23378,"F",0,4.477,0,1.70055750580158
2019,"mast","KL",23378,"F",7235.48058029899,3648.279,8.8868902594976,8.2022848928175
2018,"non-mast","KL",23418,"M",0,4.477,0,1.70055750580158
2018,"non-mast","KL",23419,"M",26.7171729402944,4.477,3.32205218283988,1.70055750580158
2018,"non-mast","KL",23456,"M",0,4.477,0,1.70055750580158
2018,"non-mast","KL",23466,"M",0,4.477,0,1.70055750580158
2019,"mast","KL",23466,"M",43982.2971502571,3648.279,10.6915652306088,8.2022848928175
2020,"post-mast","KL",23466,"M",1571.45082526439,44.317,7.36039071639367,3.81368223802878
2021,"non-mast","KL",23466,"M",0,0.236,0,0.211880359035499
2018,"non-mast","KL",23525,"M",120.210643061892,4.477,4.7975298838218,1.70055750580158
2018,"non-mast","KL",23532,"F",0,4.477,0,1.70055750580158
2019,"mast","KL",23532,"F",3634.64816727819,3648.279,8.1985426869406,8.2022848928175
2020,"post-mast","KL",23532,"F",819.955682586936,44.317,6.7104691281988,3.81368223802878
2018,"non-mast","KL",23565,"F",0,4.477,0,1.70055750580158
2019,"mast","KL",23565,"F",17447.8383660308,3648.279,9.76702835613284,8.2022848928175
2020,"post-mast","KL",23565,"F",118.51876451824,44.317,4.78347338430163,3.81368223802878
2018,"non-mast","KL",23591,"M",0,4.477,0,1.70055750580158
2018,"non-mast","SU",23624,"M",0,1.639,0,0.970400057521187
2018,"non-mast","SU",23629,"F",0,1.639,0,0.970400057521187
2018,"non-mast","SU",23646,"F",0,1.639,0,0.970400057521187
2019,"mast","SU",23646,"F",5451.97225091729,2333.26,8.60391610613946,7.75545020338613
2018,"non-mast","SU",23669,"F",0,1.639,0,0.970400057521187
2018,"non-mast","SU",23670,"M",0,1.639,0,0.970400057521187
2018,"non-mast","SU",23672,"F",91.7334146540395,1.639,4.52972886775154,0.970400057521187
2019,"mast","SU",23672,"F",11724.6855825849,2333.26,9.36953706346732,7.75545020338613
2018,"non-mast","KL",23688,"F",0,4.477,0,1.70055750580158
2018,"non-mast","SU",23697,"F",0,1.639,0,0.970400057521187
2019,"mast","KL",23724,"M",18437.2218857551,3648.279,9.82218106544141,8.2022848928175
2020,"post-mast","KL",23724,"M",946.077537659176,44.317,6.85338096698235,3.81368223802878
2021,"non-mast","KL",23724,"M",0,0.236,0,0.211880359035499
2019,"mast","KL",23755,"F",458.148928648512,3648.279,6.12937462072023,8.2022848928175
2018,"non-mast","KL",23760,"F",300.951486244512,4.477,5.71026636289617,1.70055750580158
2019,"mast","SU",23765,"F",98.174770424681,2333.26,4.59688365154701,7.75545020338613
2018,"non-mast","KL",23791,"F",0,4.477,0,1.70055750580158
2018,"non-mast","KL",23792,"F",0,4.477,0,1.70055750580158
2018,"non-mast","KL",23793,"M",0,4.477,0,1.70055750580158
2018,"non-mast","SU",23796,"F",0,1.639,0,0.970400057521187
2019,"mast","SU",23845,"M",15602.4253897424,2333.26,9.65524574539983,7.75545020338613
2019,"mast","SU",23877,"F",9896.01685880785,2333.26,9.19998866332131,7.75545020338613
2019,"mast","KL",23890,"M",55056.4112541611,3648.279,10.9161317607762,8.2022848928175
2019,"mast","KL",23896,"M",53108.6238089355,3648.279,10.8801134301478,8.2022848928175
2021,"non-mast","KL",23919,"M",0,0.236,0,0.211880359035499
2019,"mast","KL",23920,"M",34223.7249700438,3648.279,10.440703614187,8.2022848928175
2020,"post-mast","KL",23920,"M",0,44.317,0,3.81368223802878
2019,"mast","SU",23921,"F",10506.8820970059,2333.26,9.2598809304347,7.75545020338613
2020,"post-mast","SU",23921,"F",0,18.315,0,2.96088199611824
2019,"mast","SU",23938,"M",20647.2450510929,2333.26,9.93538560935848,7.75545020338613
2020,"post-mast","SU",23938,"M",0,18.315,0,2.96088199611824
2021,"non-mast","SU",23938,"M",0,0.329,0,0.284426779731108
2019,"mast","SU",23967,"M",10835.2221625373,2333.26,9.29064970525924,7.75545020338613
2020,"post-mast","SU",23967,"M",33.9902871825896,18.315,3.55507051390778,2.96088199611824
2021,"non-mast","SU",23967,"M",0,0.329,0,0.284426779731108
2019,"mast","SU",23976,"M",26954.8649678004,2333.26,10.2019561766976,7.75545020338613
2019,"mast","KL",24002,"F",4992.18707609503,3648.279,8.51582967747246,8.2022848928175
2020,"post-mast","KL",24002,"F",0,44.317,0,3.81368223802878
2021,"non-mast","KL",24002,"F",0,0.236,0,0.211880359035499
2022,"mast","KL",24002,"F",7559.45732270044,2848.786,8.93068695976468,7.95499918272417
2023,"post-mast","KL",24002,"F",25.1981910756681,4.085,3.26569036547005,1.62629502950052
2024,"non-mast","KL",24002,"F",4534.93262868817,62.483,8.41978599271531,4.15077215352074
2019,"mast","KL",24003,"F",27861.9998465245,3648.279,10.2350549172918,8.2022848928175
2020,"post-mast","KL",24003,"F",260.163141625405,44.317,5.56514527575062,3.81368223802878
2021,"non-mast","KL",24003,"F",0,0.236,0,0.211880359035499
2022,"mast","KL",24003,"F",6189.56475527183,2848.786,8.73078159823279,7.95499918272417
2019,"mast","KL",24004,"F",17655.0962147051,3648.279,9.77883639732732,8.2022848928175
2019,"mast","KL",24005,"M",4679.6640569098,3648.279,8.451195271348,8.2022848928175
2019,"mast","KL",24010,"M",27284.4049471926,3648.279,10.2141072208953,8.2022848928175
2019,"mast","KL",24033,"M",24862.2151946592,3648.279,10.1211446887479,8.2022848928175
