"grid","census_date","year","reflo","locx","locy","squirrel_id"
"KL",2014-05-15,2014,"F.21","G.1","21.3",12008
"KL",2014-05-15,2014,"L.15","L.6","15.0",19846
"KL",2014-05-15,2014,"H15","H.0","15.0",12363
"KL",2014-05-15,2014,"C2.","C.0","2.5",13048
"KL",2014-05-15,2014,"-8.12.","-8.8","12.8",19771
"KL",2014-05-15,2014,"0.12","0.4","12.0",19766
"KL",2014-05-15,2014,"I.6.","I.6","6.5",19767
"KL",2014-05-15,2014,"F17","F.0","17.0",19721
"KL",2014-05-15,2014,"-7.9","-7.5","9.2",12613
"KL",2014-05-15,2014,"F18.","F.0","18.6",11621
"KL",2014-05-15,2014,"J.20.","J.5","20.5",19772
"KL",2014-05-15,2014,"F6.","F.0","6.5",19655
"KL",2014-05-15,2014,"G5","G.0","5.0",12825
"KL",2014-05-15,2014,"L11","K.6","10.5",12006
"KL",2014-05-15,2014,"A5.","A.0","5.5",19565
"KL",2014-05-15,2014,"-8.12","-8.5","12.0",11614
"KL",2014-05-15,2014,"B.8","B.7","8.0",12423
"KL",2014-05-15,2014,"E1","E.0","1.3",19791
"KL",2014-05-15,2014,"J14","J.0","14.0",19874
"KL",2014-05-15,2014,"O6","O.5","6.4",13112
"SU",2014-05-15,2014,"B6","A.8","5.7",19537
"SU",2015-05-15,2015,"E3.","E.1","3.4",12522
"KL",2015-05-15,2015,"L.15","L.6","15.0",19846
"KL",2015-05-15,2015,"J14","J.0","14.0",21468
