"year","year_type","date","repro_stage","squirrel_id","sex","grid","locx_feed","locy_feed","detail","food_type","locx_census","locy_census","locx_census_numeric","locx_feed_numeric","buffer_radius","midden_radius","distance_to_midden","within_territory","within_midden","food_group","midden_status","year.y","mushroom_index_previous","cone_index_previous","mushroom_index_previous_scaled","cone_index_previous_scaled"
2013,"non-mast","2013-04-15","mating",12908,"M","KL","3.7",18.8,2,"capital","C.5",19,3.5,3.7,1.73333333333333,0.333333333333333,8.48528137423856,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-15","mating",12908,"M","KL","3.7",19,2,"capital","C.5",19,3.5,3.7,1.73333333333333,0.333333333333333,6,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-15","mating",13048,"M","KL","3.1",2.9,4,"capital","C.0",2.5,3,3.1,1.73333333333333,0.333333333333333,12.369316876853,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-15","mating",13048,"M","KL","3.0",2.5,2,"capital","C.0",2.5,3,3,1.73333333333333,0.333333333333333,0,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-15","mating",12197,"M","JO","18.6",18.3,4,"capital","R.3",18,18.3,18.6,1.73333333333333,0.333333333333333,12.7279220613579,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-13","mating",11848,"M","JO","7.7",11.4,2,"capital","G.4",11.4,7.4,7.7,1.73333333333333,0.333333333333333,9,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-13","mating",11848,"M","JO","7.7",11.4,2,"capital","H.2",11,8.2,7.7,1.73333333333333,0.333333333333333,19.2093727122985,TRUE,FALSE,"cone",0,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-16","mating",12678,"M","KL","2.8",10.7,4,"capital","B.6",10.5,2.6,2.8,1.73333333333333,0.333333333333333,8.48528137423855,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-16","mating",11902,"M","JO","2.1",4,4,"capital","B.3",4.7,2.3,2.1,1.73333333333333,0.333333333333333,21.8403296678416,TRUE,FALSE,"mushroom/truffle",0,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-16","mating",12672,"M","JO","3.9",18.3,2,"capital","D.0",18.5,4,3.9,1.73333333333333,0.333333333333333,6.70820393249935,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
