grid,stake,north,west,east
SU,O4,60.95618,138.04243,-138.04243
SU,O5,60.95597,138.04275,-138.04275
SU,O6,60.95583,138.04307,-138.04307
SU,O7,60.95558,138.04341,-138.04341
SU,O8,60.95535,138.04378,-138.04378
SU,O9,60.95509,138.0441,-138.0441
SU,O10,60.9549,138.04443,-138.04443
SU,O11,60.95473,138.04472,-138.04472
SU,O12,60.95449,138.045,-138.045
SU,O13,60.95433,138.04536,-138.04536
SU,O14,60.95407,138.04566,-138.04566
SU,O15,60.95386,138.04599,-138.04599
SU,O16,60.95364,138.04642,-138.04642
SU,O17,60.95343,138.04666,-138.04666
SU,O18,60.95322,138.04697,-138.04697
SU,O19,60.95298,138.04838,-138.04838
SU,O20,60.95275,138.04769,-138.04769
SU,P1,60.95702,138.04186,-138.04186
SU,P2,60.95682,138.0423,-138.0423
SU,P3,60.95662,138.04248,-138.04248
SU,P4,60.95644,138.04277,-138.04277
SU,P5,60.95617,138.04314,-138.04314
SU,P6,60.95597,138.04342,-138.04342
SU,P7,60.95571,138.04376,-138.04376
SU,P8,60.95551,138.04413,-138.04413
SU,P9,60.9553,138.04444,-138.04444
SU,P10,60.95509,138.04476,-138.04476
SU,P11,60.95486,138.04507,-138.04507
SU,P12,60.95465,138.04543,-138.04543
SU,P13,60.95447,138.04571,-138.04571
SU,P14,60.95422,138.04611,-138.04611
SU,P15,60.954,138.04641,-138.04641
SU,P16,60.95382,138.04669,-138.04669
SU,P17,60.95355,138.04713,-138.04713
SU,P18,60.95333,138.04741,-138.04741
SU,P19,60.95312,138.04775,-138.04775
SU,P20,60.95291,138.04804,-138.04804
SU,Q1,60.95716,138.04235,-138.04235
SU,Q2,60.95691,138.04265,-138.04265
SU,Q3,60.95671,138.04297,-138.04297
SU,Q4,60.95651,138.04324,-138.04324
SU,Q5,60.9563,138.04363,-138.04363
SU,Q6,60.95603,138.04406,-138.04406
SU,Q7,60.95588,138.04424,-138.04424
SU,Q8,60.95565,138.04459,-138.04459
SU,Q9,60.95534,138.04502,-138.04502
SU,Q10,60.95515,138.04528,-138.04528
SU,Q11,60.95496,138.04565,-138.04565
SU,Q12,60.95472,138.046,-138.046
SU,Q13,60.95453,138.04632,-138.04632
SU,Q14,60.9543,138.04658,-138.04658
SU,Q15,60.95404,138.04686,-138.04686
SU,Q16,60.95384,138.04724,-138.04724
SU,Q17,60.95361,138.04756,-138.04756
SU,Q18,60.9534,138.04788,-138.04788
SU,Q19,60.9532,138.04825,-138.04825
SU,Q20,60.953,138.04855,-138.04855
SU,R1,60.95736,138.04276,-138.04276
SU,R2,60.95721,138.04303,-138.04303
SU,R3,60.95694,138.04334,-138.04334
SU,R4,60.95674,138.04364,-138.04364
SU,R5,60.9565,138.04404,-138.04404
SU,R6,60.95628,138.04437,-138.04437
SU,R7,60.95603,138.04474,-138.04474
SU,R8,60.95582,138.04504,-138.04504
SU,R9,60.95566,138.04541,-138.04541
SU,R10,60.95542,138.04572,-138.04572
SU,R11,60.95521,138.04609,-138.04609
SU,R12,60.95498,138.04642,-138.04642
SU,R13,60.9547,138.04679,-138.04679
SU,R14,60.9545,138.04711,-138.04711
SU,R15,60.95429,138.04744,-138.04744
SU,R16,60.95406,138.0478,-138.0478
SU,R17,60.95384,138.04805,-138.04805
SU,R18,60.95362,138.04847,-138.04847
SU,R19,60.95339,138.04883,-138.04883
SU,R20,60.95318,138.04913,-138.04913
SU,S1,60.95753,138.04319,-138.04319
SU,S2,60.95733,138.04353,-138.04353
SU,S3,60.95708,138.04393,-138.04393
